Frame ID,Marker ID,Top Left,Top Right,Bottom Right,Bottom Left,Distance,Yaw,Pitch,Roll
48,17,"(43.0, 307.0)","(10.0, 246.0)","(22.0, 251.0)","(57.0, 319.0)",0.5425027055384214,121.44088589733609,19.893847117691777,-96.30687828262892
49,17,"(44.0, 308.0)","(10.0, 246.0)","(21.0, 247.0)","(58.0, 320.0)",0.5198462965649586,121.18510099866248,18.09212415004604,-97.24655472708153
108,7,"(750.0, 691.0)","(766.0, 692.0)","(765.0, 712.0)","(747.0, 711.0)",2.0215971297167927,142.15457010791826,-41.90651762770459,34.65794233456454
109,7,"(748.0, 686.0)","(764.0, 686.0)","(763.0, 706.0)","(746.0, 706.0)",2.0075184550088783,122.84766979660776,52.13384433112773,-43.94099027148657
110,7,"(746.0, 680.0)","(763.0, 681.0)","(763.0, 700.0)","(744.0, 699.0)",2.101982836885075,143.10145012627532,-39.24448236822576,30.67119968565225
111,7,"(744.0, 668.0)","(761.0, 669.0)","(759.0, 688.0)","(742.0, 686.0)",2.116714070027214,133.919115625345,53.85430151690488,-32.96615608824441
112,7,"(742.0, 656.0)","(759.0, 657.0)","(758.0, 675.0)","(740.0, 675.0)",2.087120033731111,147.59654372009837,-41.75399609411501,28.55491737507968
113,7,"(741.0, 642.0)","(758.0, 644.0)","(756.0, 662.0)","(739.0, 661.0)",2.050276732133925,144.4853553302706,-41.59130819768122,32.314163155081395
115,7,"(741.0, 612.0)","(757.0, 612.0)","(755.0, 631.0)","(739.0, 631.0)",1.9247376331447716,150.9955201128676,-48.50340491879097,28.310331075149392
116,7,"(740.0, 605.0)","(756.0, 605.0)","(755.0, 624.0)","(738.0, 623.0)",1.964908307192783,135.2920377195782,56.34302712663474,-34.08394002911917
117,7,"(741.0, 599.0)","(757.0, 599.0)","(755.0, 618.0)","(739.0, 617.0)",1.9489815918098308,133.74103759214836,57.640834414697444,-35.03370936022996
118,7,"(741.0, 602.0)","(758.0, 603.0)","(756.0, 621.0)","(739.0, 620.0)",2.0119934919509177,150.1099954972238,-43.774177216894934,27.9755260553373
119,7,"(741.0, 602.0)","(758.0, 602.0)","(757.0, 620.0)","(739.0, 620.0)",2.0100984139679223,135.45995517207282,53.01576505692944,-32.37203934476716
120,7,"(741.0, 598.0)","(757.0, 599.0)","(755.0, 618.0)","(739.0, 617.0)",1.8996160512379192,147.631073708033,-47.43179564244235,31.09984265154364
121,7,"(740.0, 592.0)","(756.0, 594.0)","(755.0, 611.0)","(738.0, 611.0)",1.9913943321514864,148.9441793092113,-45.26664427039957,28.408748647520284
122,7,"(739.0, 583.0)","(756.0, 584.0)","(754.0, 602.0)","(738.0, 602.0)",1.9207435744045103,151.47471331221553,-47.4574037484606,26.640918297115363
123,7,"(740.0, 573.0)","(755.0, 574.0)","(754.0, 592.0)","(737.0, 591.0)",1.9511626804666042,150.84874232213835,-47.18310853537516,28.210937099552005
124,7,"(740.0, 563.0)","(755.0, 564.0)","(753.0, 582.0)","(737.0, 581.0)",1.9292547097717883,152.06728359375768,-48.66844262659916,28.456238165061805
125,7,"(738.0, 550.0)","(755.0, 550.0)","(753.0, 569.0)","(737.0, 568.0)",1.858878393047587,142.15386243385112,59.55569703415976,-29.134906456653596
126,7,"(739.0, 540.0)","(755.0, 539.0)","(753.0, 558.0)","(737.0, 557.0)",1.8852758415714213,139.1492269384353,59.473474313034,-30.79791590384809
127,7,"(739.0, 529.0)","(755.0, 530.0)","(753.0, 548.0)","(737.0, 547.0)",1.874813428087715,154.9618463774714,-49.34574564662737,24.950606102607928
128,7,"(739.0, 522.0)","(755.0, 523.0)","(753.0, 541.0)","(737.0, 539.0)",1.9135769969089245,153.09566435900118,61.8477941995896,-19.009402131923093
129,7,"(739.0, 511.0)","(755.0, 510.0)","(753.0, 529.0)","(736.0, 528.0)",1.8376288036593649,143.14252358959592,60.17808368551481,-26.52203625252352
130,7,"(739.0, 506.0)","(755.0, 506.0)","(753.0, 525.0)","(737.0, 524.0)",1.7901290451520029,146.82920129749843,62.789603502593614,-25.05219790443117
131,7,"(740.0, 511.0)","(757.0, 512.0)","(755.0, 529.0)","(738.0, 528.0)",1.9556637473398146,159.2175821422231,-46.10962151579653,20.735297902788794
132,7,"(743.0, 522.0)","(759.0, 523.0)","(758.0, 541.0)","(741.0, 540.0)",1.866552174250466,155.38796309824593,-48.49462935914696,23.468720178729818
133,7,"(745.0, 531.0)","(762.0, 532.0)","(760.0, 549.0)","(743.0, 548.0)",1.9875930532979769,157.50367538539294,-45.049400056463654,22.056615218797447
