Frame ID,Marker ID,Top Left,Top Right,Bottom Right,Bottom Left,Distance,Yaw,Pitch,Roll
274,0,"(426.0, 65.0)","(486.0, 61.0)","(492.0, 124.0)","(432.0, 128.0)",0.46881525911944044,-149.8044944367088,34.172112644252756,20.568840832053326
275,0,"(429.0, 33.0)","(489.0, 28.0)","(493.0, 89.0)","(433.0, 94.0)",0.5150406952458844,-151.19714064882317,31.671373326101055,19.574494963596706
288,0,"(238.0, 28.0)","(300.0, 24.0)","(306.0, 86.0)","(246.0, 91.0)",0.522488527845305,-158.5249501527252,25.5648724683765,15.176163363040862
309,0,"(710.0, 58.0)","(777.0, 57.0)","(777.0, 122.0)","(709.0, 122.0)",0.5839762844922137,-141.24367508518097,30.701160960472127,18.902265161192524
310,0,"(846.0, 37.0)","(920.0, 34.0)","(913.0, 104.0)","(840.0, 105.0)",0.4591088345881446,-147.87884628301842,-23.346349969373883,-20.25075670271314
317,1,"(640.0, 88.0)","(667.0, 92.0)","(663.0, 119.0)","(637.0, 116.0)",1.028585002407439,-141.5049535138196,-44.83313104130806,-24.371803827889742
318,1,"(700.0, 102.0)","(727.0, 107.0)","(724.0, 134.0)","(696.0, 131.0)",0.9762286372353189,-150.1171175566203,-42.52339950388244,-18.47889699272039
319,1,"(731.0, 125.0)","(757.0, 127.0)","(754.0, 155.0)","(728.0, 153.0)",0.9477481337865252,-147.7000070480366,-42.17611179885438,-22.20619231760178
320,1,"(734.0, 125.0)","(763.0, 129.0)","(757.0, 158.0)","(731.0, 156.0)",0.8781207650301427,-148.37472377545257,-43.36985234033986,-20.485726979909103
321,1,"(741.0, 121.0)","(770.0, 122.0)","(767.0, 153.0)","(738.0, 150.0)",0.8905309960454111,-126.21658582220613,46.482917856633875,43.09341709602131
322,1,"(769.0, 119.0)","(797.0, 121.0)","(793.0, 151.0)","(765.0, 149.0)",0.8994858750302128,-148.51590280128198,-39.53183379385319,-20.821931344140033
323,1,"(784.0, 116.0)","(813.0, 117.0)","(810.0, 148.0)","(781.0, 146.0)",0.8919783011867655,-121.58892249823612,49.173819272771595,46.93653969278523
324,1,"(755.0, 96.0)","(784.0, 97.0)","(780.0, 129.0)","(751.0, 128.0)",0.8840742957089152,-142.32426201450122,-38.49561647286559,-25.756905115223965
325,1,"(715.0, 111.0)","(744.0, 112.0)","(741.0, 142.0)","(713.0, 142.0)",0.8944360066368992,-141.9289782392842,-39.98740455886453,-26.979186911544492
326,1,"(686.0, 92.0)","(714.0, 93.0)","(712.0, 126.0)","(683.0, 124.0)",0.8694282358072505,-127.40073163006107,44.6159212022118,42.889334221371264
327,1,"(684.0, 96.0)","(714.0, 98.0)","(711.0, 130.0)","(681.0, 128.0)",0.8745848890325244,-141.56096691467116,-41.82419031802251,-26.259316065456765
